type,id,value,key
regular,25895788,footway,highway
regular,29178837,footway,highway
regular,30803075,桐梓胡同,name
regular,30803075,service,highway
name,30803075,Tongzi Hutong,en
regular,30803075,alley,service
regular,33803505,1,layer
regular,33803505,yes,bridge
regular,33803505,yes,oneway
regular,33803505,trunk_link,highway
regular,40745413,viaduct,bridge
regular,40745413,motorway,highway
regular,40745413,3,lanes
regular,40745413,1,layer
regular,40745413,yes,oneway
regular,42491092,yes,oneway
regular,42491092,trunk_link,highway
regular,42941180,S216,ref
regular,42941180,G6辅路,name
regular,42941180,2,lanes
regular,42941180,yes,oneway
regular,42941180,primary,highway
regular,43977772,yes,building
regular,47691618,定福庄东街 (dìngfúzhuāng dōng jiē),name
regular,47691618,residential,highway
name,47691618,Dingfuzhuang East Street,en
name,47691618,Rue Est Dìngfúzhuāng,fr
name,47691618,定福庄东街,zh
name,47691618,dìngfúzhuāng dōng jiē,zh_pinyin
regular,55334711,Yahoo hires,source
regular,55334711,residential,highway
regular,59174592,residential,highway
regular,60110810,residential,highway
regular,80899825,water,natural
regular,89375367,rail,railway
regular,89375367,2,passenger_lines
regular,102404841,taxiway,aeroway
regular,107011220,yes,oneway
regular,107011220,trunk_link,highway
regular,113814500,yes,building
regular,117091205,X043,ref
regular,117091205,采万路,name
regular,117091205,secondary,highway
regular,120276771,no,access
regular,120276771,yes,oneway
regular,120276771,tertiary,highway
regular,121375736,-4,layer
regular,121375736,yes,covered
regular,121375736,train_station,building
regular,121375736,station,public_transport
regular,122214336,yes,bridge
regular,122214336,rail,railway
regular,122214336,contact_line,electrified
regular,127468286,西三环中路,name
regular,127468286,yes,oneway
regular,127468286,trunk,highway
regular,127468286,4,maxheight
regular,128623105,unclassified,highway
regular,136512026,secondary,highway
regular,136512026,yes,oneway
regular,144356228,service,highway
regular,150587400,yes,oneway
regular,150587400,trunk_link,highway
regular,152607487,yes,building
regular,156319713,no,bench
regular,156319713,platform,highway
regular,156319713,yes,shelter
regular,156319713,platform,public_transport
regular,159524588,颐和园路,name
regular,159524588,yes,oneway
regular,159524588,tertiary,highway
name,159524588,颐和园路,zh
